TimeStamp,JobId,JobStateId,Priority,TokenAllocation,QuotaTokens,AUId,VCId,TotalWaitingTimeInMins,random,SLA,JobRegistryId,YieldScopePriority_X,YieldScopePriority_Y
2019-09-20 13:51:56.367,cd7080c5-0739-4f46-a7c0-de7af0b0171b,0,1100,380,0,dc8f2713-ac97-42ba-b321-a3cf155644f8,100,24.322784133333332,e3217cac-1027-4496-8490-00003fb25d6e,NULL,4071,NULL,NULL
2021-07-29 14:01:14.360,ed646972-c454-4516-bd96-084fc16aac0d,0,2001,1000,1943,6cc10ca9-f94e-4a7d-963c-b2af6f5c9a04,100,0.30076190333333336,0658a5bc-20fd-49db-b7f6-00004c3e55bb,NULL,4292,NULL,NULL
2021-03-29 09:27:42.123,f82a50c6-001e-44ea-aa91-6247e5b910f7,0,201,2000,9714,83f00d65-a1a6-4dae-a8f2-def4d2209705,100,26.993707625,18124d71-ec78-44cd-a8ed-0001134f91ac,NULL,4862,NULL,NULL
2020-09-22 07:16:38.140,bf5602e7-0697-4de4-8280-838fb25bab63,1,2053,234,97,d6a9f2c9-5d9c-4efd-88f9-5e4e5becc6c3,100,1.3566803016666666,49a9f392-e88f-4565-a939-0000122d06c4,NULL,4911,NULL,NULL
2020-06-29 23:50:50.867,99b89b97-4020-4eb7-af68-5a1536f991b2,1,2050,234,97,d6a9f2c9-5d9c-4efd-88f9-5e4e5becc6c3,100,0.10565591666666667,1ab4f332-afe7-4bb6-98b2-0000637e154f,NULL,4911,NULL,NULL
2021-02-19 04:10:50.260,6104f914-1ed9-42a9-bc9b-645b9aa6fb2c,1,2050,234,97,d6a9f2c9-5d9c-4efd-88f9-5e4e5becc6c3,100,0.5166334066666667,c7f6221e-c8a1-4f26-a8ea-000068e9022f,NULL,4911,NULL,NULL
2019-10-03 09:23:30.127,84d3943a-b2ae-46fc-aa52-9402cfb736db,1,2051,500,97,d6a9f2c9-5d9c-4efd-88f9-5e4e5becc6c3,100,0.9282085533333334,6e63c784-fd86-4146-a28a-00006e179e4e,NULL,4911,NULL,NULL
2021-03-25 10:27:49.643,4bfe2fd9-b352-4d58-ab6f-afb4553e1ff7,0,2064,234,97,d6a9f2c9-5d9c-4efd-88f9-5e4e5becc6c3,100,1.8631471283333334,7a2668bc-0178-4a72-b24c-0000908e5388,NULL,4911,NULL,NULL
2020-12-05 05:27:22.333,aa480327-22d6-4e27-9e18-a3c409c2c4f4,1,2051,234,97,d6a9f2c9-5d9c-4efd-88f9-5e4e5becc6c3,100,1.0931524483333332,0db0ebce-095c-49f8-ab92-0000ae7b62e1,NULL,4911,NULL,NULL
2021-03-13 00:13:20.387,eb676e77-6a53-4929-922e-ea0a4f1419d5,1,2051,350,97,d6a9f2c9-5d9c-4efd-88f9-5e4e5becc6c3,100,1.2600692533333333,62053ca1-ab25-4972-8418-0000c9982095,NULL,4911,NULL,NULL
